parva_18,parva_100,chapter,shloka,section,section_by_volume,volume
Adi,Anukramanika,1,210,1,1,1
Adi,Parvasamgraha,2,243,2,2,1
Adi,Poushya,3,195,3,3,1
Adi,Pouloma,4,11,4,4,1
Adi,Pouloma,5,26,4,4,1
Adi,Pouloma,6,16,4,4,1
Adi,Pouloma,7,26,4,4,1
Adi,Pouloma,8,22,4,4,1
Adi,Pouloma,9,22,4,4,1
Adi,Pouloma,10,8,4,4,1
Adi,Pouloma,11,17,4,4,1
Adi,Pouloma,12,5,4,4,1
Adi,Astika,13,45,5,5,1
Adi,Astika,14,23,5,5,1
Adi,Astika,15,13,5,5,1
Adi,Astika,16,40,5,5,1
Adi,Astika,17,30,5,5,1
Adi,Astika,18,11,5,5,1
Adi,Astika,19,17,5,5,1
Adi,Astika,20,15,5,5,1
Adi,Astika,21,17,5,5,1
Adi,Astika,22,5,5,5,1
Adi,Astika,23,12,5,5,1
Adi,Astika,24,14,5,5,1
Adi,Astika,25,33,5,5,1
Adi,Astika,26,47,5,5,1
Adi,Astika,27,35,5,5,1
Adi,Astika,28,25,5,5,1
Adi,Astika,29,23,5,5,1
Adi,Astika,30,22,5,5,1
Adi,Astika,31,18,5,5,1
Adi,Astika,32,25,5,5,1
Adi,Astika,33,31,5,5,1
Adi,Astika,34,18,5,5,1
Adi,Astika,35,13,5,5,1
Adi,Astika,36,26,5,5,1
Adi,Astika,37,27,5,5,1
Adi,Astika,38,39,5,5,1
Adi,Astika,39,33,5,5,1
Adi,Astika,40,11,5,5,1
Adi,Astika,41,30,5,5,1
Adi,Astika,42,20,5,5,1
Adi,Astika,43,39,5,5,1
Adi,Astika,44,22,5,5,1
Adi,Astika,45,28,5,5,1
Adi,Astika,46,41,5,5,1
Adi,Astika,47,25,5,5,1
Adi,Astika,48,26,5,5,1
Adi,Astika,49,28,5,5,1
Adi,Astika,50,17,5,5,1
Adi,Astika,51,23,5,5,1
Adi,Astika,52,22,5,5,1
Adi,Astika,53,36,5,5,1
Adi,Adi Vamshavatarana,54,24,6,6,1
Adi,Adi Vamshavatarana,55,43,6,6,1
Adi,Adi Vamshavatarana,56,33,6,6,1
Adi,Adi Vamshavatarana,57,106,6,6,1
Adi,Adi Vamshavatarana,58,51,6,6,1
Adi,Sambhava,59,54,7,7,1
Adi,Sambhava,60,69,7,7,1
Adi,Sambhava,61,102,7,7,1
Adi,Sambhava,62,14,7,7,1
Adi,Sambhava,63,26,7,7,1
Adi,Sambhava,64,42,7,7,1
Adi,Sambhava,65,42,7,7,1
Adi,Sambhava,66,17,7,7,1
Adi,Sambhava,67,33,7,7,1
Adi,Sambhava,68,80,7,7,1
Adi,Sambhava,69,51,7,7,1
Adi,Sambhava,70,46,7,7,1
Adi,Sambhava,71,58,7,7,1
Adi,Sambhava,72,23,7,7,1
Adi,Sambhava,73,36,7,7,1
Adi,Sambhava,74,12,7,7,1
Adi,Sambhava,75,25,7,7,1
Adi,Sambhava,76,35,7,7,1
Adi,Sambhava,77,27,7,7,1
Adi,Sambhava,78,41,7,7,1
Adi,Sambhava,79,30,7,7,1
Adi,Sambhava,80,27,7,7,1
Adi,Sambhava,81,16,7,7,1
Adi,Sambhava,82,13,7,7,1
Adi,Sambhava,83,13,7,7,1
Adi,Sambhava,84,21,7,7,1
Adi,Sambhava,85,27,7,7,1
Adi,Sambhava,86,17,7,7,1
Adi,Sambhava,87,18,7,7,1
Adi,Sambhava,88,26,7,7,1
Adi,Sambhava,89,55,7,7,1
Adi,Sambhava,90,96,7,7,1
Adi,Sambhava,91,22,7,7,1
Adi,Sambhava,92,55,7,7,1
Adi,Sambhava,93,46,7,7,1
Adi,Sambhava,94,94,7,7,1
Adi,Sambhava,95,14,7,7,1
Adi,Sambhava,96,59,7,7,1
Adi,Sambhava,97,26,7,7,1
Adi,Sambhava,98,33,7,7,1
Adi,Sambhava,99,49,7,7,1
Adi,Sambhava,100,30,7,7,1
Adi,Sambhava,101,28,7,7,1
