chapter,paragraph_index,word_count
chapter_1000_Drona_Samshaptaka_Vadha_7_normalized.txt,1,472
chapter_1001_Drona_Samshaptaka_Vadha_7_normalized.txt,1,574
chapter_1001_Drona_Samshaptaka_Vadha_7_normalized.txt,2,421
chapter_1001_Drona_Samshaptaka_Vadha_7_normalized.txt,3,538
chapter_1002_Drona_Samshaptaka_Vadha_7_normalized.txt,1,46
chapter_1002_Drona_Samshaptaka_Vadha_7_normalized.txt,2,396
chapter_1002_Drona_Samshaptaka_Vadha_7_normalized.txt,3,277
chapter_1002_Drona_Samshaptaka_Vadha_7_normalized.txt,4,441
chapter_1002_Drona_Samshaptaka_Vadha_7_normalized.txt,5,227
chapter_1003_Drona_Samshaptaka_Vadha_7_normalized.txt,1,449
chapter_1003_Drona_Samshaptaka_Vadha_7_normalized.txt,2,261
chapter_1004_Drona_Samshaptaka_Vadha_7_normalized.txt,1,312
chapter_1004_Drona_Samshaptaka_Vadha_7_normalized.txt,2,395
chapter_1005_Drona_Samshaptaka_Vadha_7_normalized.txt,1,23
chapter_1005_Drona_Samshaptaka_Vadha_7_normalized.txt,2,347
chapter_1005_Drona_Samshaptaka_Vadha_7_normalized.txt,3,816
chapter_1006_Drona_Samshaptaka_Vadha_7_normalized.txt,1,359
chapter_1006_Drona_Samshaptaka_Vadha_7_normalized.txt,2,321
chapter_1006_Drona_Samshaptaka_Vadha_7_normalized.txt,3,350
chapter_1007_Drona_Samshaptaka_Vadha_7_normalized.txt,1,53
chapter_1007_Drona_Samshaptaka_Vadha_7_normalized.txt,2,341
chapter_1007_Drona_Samshaptaka_Vadha_7_normalized.txt,3,320
chapter_1008_Drona_Samshaptaka_Vadha_7_normalized.txt,1,785
chapter_1008_Drona_Samshaptaka_Vadha_7_normalized.txt,2,168
chapter_1008_Drona_Samshaptaka_Vadha_7_normalized.txt,3,344
chapter_1008_Drona_Samshaptaka_Vadha_7_normalized.txt,4,348
chapter_1008_Drona_Samshaptaka_Vadha_7_normalized.txt,5,304
chapter_1009_Drona_Abhimanyu_Vadha_1_normalized.txt,1,120
