chapter,para_count,tot_word_count
chapter_1000_Drona_Samshaptaka_Vadha_7_normalized.txt,1,472
chapter_1001_Drona_Samshaptaka_Vadha_7_normalized.txt,3,1533
chapter_1002_Drona_Samshaptaka_Vadha_7_normalized.txt,5,1387
chapter_1003_Drona_Samshaptaka_Vadha_7_normalized.txt,2,710
chapter_1004_Drona_Samshaptaka_Vadha_7_normalized.txt,2,707
chapter_1005_Drona_Samshaptaka_Vadha_7_normalized.txt,3,1186
chapter_1006_Drona_Samshaptaka_Vadha_7_normalized.txt,3,1030
chapter_1007_Drona_Samshaptaka_Vadha_7_normalized.txt,3,714
chapter_1008_Drona_Samshaptaka_Vadha_7_normalized.txt,5,1949
chapter_1009_Drona_Abhimanyu_Vadha_1_normalized.txt,4,809
chapter_100_Adi_Sambhava_7_normalized.txt,3,766
chapter_1010_Drona_Abhimanyu_Vadha_1_normalized.txt,3,521
chapter_1011_Drona_Abhimanyu_Vadha_1_normalized.txt,7,720
chapter_1012_Drona_Abhimanyu_Vadha_1_normalized.txt,3,1205
chapter_1013_Drona_Abhimanyu_Vadha_1_normalized.txt,2,890
chapter_1014_Drona_Abhimanyu_Vadha_1_normalized.txt,2,679
chapter_1015_Drona_Abhimanyu_Vadha_1_normalized.txt,4,844
chapter_1016_Drona_Abhimanyu_Vadha_1_normalized.txt,2,792
chapter_1017_Drona_Abhimanyu_Vadha_1_normalized.txt,1,595
chapter_1018_Drona_Abhimanyu_Vadha_1_normalized.txt,4,615
chapter_1019_Drona_Abhimanyu_Vadha_1_normalized.txt,2,475
chapter_101_Adi_Sambhava_7_normalized.txt,5,813
chapter_1020_Drona_Abhimanyu_Vadha_1_normalized.txt,1,494
chapter_1021_Drona_Abhimanyu_Vadha_1_normalized.txt,2,766
chapter_1022_Drona_Abhimanyu_Vadha_1_normalized.txt,2,671
chapter_1023_Drona_Abhimanyu_Vadha_1_normalized.txt,2,602
chapter_1024_Drona_Abhimanyu_Vadha_1_normalized.txt,4,1086
chapter_1025_Drona_Abhimanyu_Vadha_1_normalized.txt,5,1630
